others,total_input_tokens,total_token_throughput,backend,base_url,endpoint_type,max_concurrent_requests,std_itl_ms,timestamp,tokenizer_id,completed,num_prompts,request_rate,date,p99_itl_ms,burstiness,failed,median_itl_ms,mean_itl_ms,p99_tpot_ms,request_throughput,std_tpot_ms,task_id,total_output_tokens,median_tpot_ms,mean_ttft_ms,std_ttft_ms,max_concurrency,duration,request_goodput,label,mean_tpot_ms,p99_ttft_ms,output_throughput,max_output_tokens_per_s,median_ttft_ms,model_id
doks-1.34.1-rocm-7.0.2-mi350x8-vllm-dev-dsfp4_1120,1023,168.8302471781816,openai,http://mi350-vllm-dev.default.svc.cluster.local:80,openai,1,0.21220068600287867,2026-02-17 02:00:40.035000,amd/DeepSeek-R1-MXFP4,1,1,10000.0,2026-02-16,12.528342992300168,1.0,0,11.807906994363293,11.824201151511504,11.824198801555005,0.0824769160616422,0.0,deepseek_r1_mxfp4_vllm_20260216,1024,11.824198801555005,26.2748230015859,0.0,,12.124604650016408,,,11.824198801555005,26.2748230015859,84.45636204712162,85.0,26.2748230015859,amd/DeepSeek-R1-MXFP4
doks-1.34.1-rocm-7.0.2-mi350x8-vllm-dev-dsfp4_1120,2046,329.8892147776715,openai,http://mi350-vllm-dev.default.svc.cluster.local:80,openai,2,0.2130343992787014,2026-02-17 02:01:15.961000,amd/DeepSeek-R1-MXFP4,2,2,10000.0,2026-02-16,12.640157609712332,1.0,0,12.06605949846562,12.080849095317443,12.080909750216758,0.16115740829392844,6.39061510879918e-05,deepseek_r1_mxfp4_vllm_20260216,2048,12.080847122188692,37.645934004103765,11.390778003260493,,12.4102268780116,,,12.080847122188692,48.80889644729905,165.02518609298272,166.0,37.645934004103765,amd/DeepSeek-R1-MXFP4
doks-1.34.1-rocm-7.0.2-mi350x8-vllm-dev-dsfp4_1120,3069,482.1827824255422,openai,http://mi350-vllm-dev.default.svc.cluster.local:80,openai,3,0.21538894820157584,2026-02-17 02:01:51.781000,amd/DeepSeek-R1-MXFP4,3,3,10000.0,2026-02-16,12.994207232259214,1.0,0,12.39101801184006,12.398164147603225,12.398582883096115,0.23555582922596102,0.0005622405243319952,deepseek_r1_mxfp4_vllm_20260216,3072,12.39853692080558,41.69675833933676,10.498094430461984,,12.735834260005504,,,12.39816303746611,49.94135765591636,241.2091691273841,243.0,48.22947600041516,amd/DeepSeek-R1-MXFP4
doks-1.34.1-rocm-7.0.2-mi350x8-vllm-dev-dsfp4_1120,4092,644.1255819727796,openai,http://mi350-vllm-dev.default.svc.cluster.local:80,openai,4,0.2936633463815716,2026-02-17 02:02:29.425000,amd/DeepSeek-R1-MXFP4,4,4,10000.0,2026-02-16,13.092169804149309,1.0,0,12.362651003059,12.373405249259001,12.374545331334662,0.3146680908513823,0.0013561148660870637,deepseek_r1_mxfp4_vllm_20260216,4096,12.373978352876978,44.43478200118989,9.028997019746708,,12.711806873005116,,,12.373404260013261,50.51839867752278,322.2201250318155,324.0,49.17872649093624,amd/DeepSeek-R1-MXFP4
doks-1.34.1-rocm-7.0.2-mi350x8-vllm-dev-dsfp4_1120,5115,780.0598992642513,openai,http://mi350-vllm-dev.default.svc.cluster.local:80,openai,5,0.2638900448852329,2026-02-17 02:03:06.055000,amd/DeepSeek-R1-MXFP4,5,5,10000.0,2026-02-16,13.517687774728984,1.0,0,12.76603399310261,12.77334576891758,12.77450140906231,0.3810746943157065,0.001893974621339477,deepseek_r1_mxfp4_vllm_20260216,5120,12.774179903241848,45.038084202678874,8.164290362956852,,13.120787274994655,,,12.773345192764154,50.1319913752377,390.22048697928346,395.0,49.09381998004392,amd/DeepSeek-R1-MXFP4
doks-1.34.1-rocm-7.0.2-mi350x8-vllm-dev-dsfp4_1120,6138,928.763757068992,openai,http://mi350-vllm-dev.default.svc.cluster.local:80,openai,6,0.29401287794105885,2026-02-17 02:03:42.973000,amd/DeepSeek-R1-MXFP4,6,6,10000.0,2026-02-16,13.731482774892356,1.0,0,12.863413488958031,12.871954374060433,12.873733234898182,0.4537194709667768,0.002479140705440943,deepseek_r1_mxfp4_vllm_20260216,6144,12.872917691109345,48.236140835797414,6.834502605062833,,13.224030229990603,,,12.8719532789162,51.8806860622135,464.6087382699794,468.0,51.213109501986764,amd/DeepSeek-R1-MXFP4
doks-1.34.1-rocm-7.0.2-mi350x8-vllm-dev-dsfp4_1120,7161,1078.832101443203,openai,http://mi350-vllm-dev.default.svc.cluster.local:80,openai,7,0.32293892744739755,2026-02-17 02:04:19.554000,amd/DeepSeek-R1-MXFP4,7,7,10000.0,2026-02-16,13.711211795452982,1.0,0,12.916732986923307,12.92789469962818,12.92989235743812,0.52703082630347,0.003983721061887851,deepseek_r1_mxfp4_vllm_20260216,7168,12.929585044968006,48.92485513950565,5.022507522805157,,13.28195553398109,,,12.927894155425971,52.70918200840242,539.6795661347533,546.0,50.129991985158995,amd/DeepSeek-R1-MXFP4
doks-1.34.1-rocm-7.0.2-mi350x8-vllm-dev-dsfp4_1120,8184,1234.597989475034,openai,http://mi350-vllm-dev.default.svc.cluster.local:80,openai,8,0.3418637948619204,2026-02-17 02:04:56.216000,amd/DeepSeek-R1-MXFP4,8,8,10000.0,2026-02-16,13.800696494581643,1.0,0,12.892968996311538,12.903489386359713,12.904193070559545,0.603125544443104,0.0011903485536999786,deepseek_r1_mxfp4_vllm_20260216,8192,12.903842520542177,51.07335762659204,10.514061592459667,,13.264236730989069,,,12.903488716765352,59.50672893959563,617.6005575097385,624.0,56.69524151016958,amd/DeepSeek-R1-MXFP4
doks-1.34.1-rocm-7.0.2-mi350x8-vllm-dev-dsfp4_1120,9207,1291.0794622429862,openai,http://mi350-vllm-dev.default.svc.cluster.local:80,openai,9,0.3602502587502887,2026-02-17 02:05:34.630000,amd/DeepSeek-R1-MXFP4,9,9,10000.0,2026-02-16,14.72791424021125,1.0,0,13.876902987249196,13.880589024215473,13.881792088204454,0.6307178613790846,0.0014425281019495087,deepseek_r1_mxfp4_vllm_20260216,9216,13.881110377321365,60.129197113888544,11.246217929103539,,14.269454777007923,,,13.880588519922936,65.61046428163536,645.8550900521826,657.0,64.05780097702518,amd/DeepSeek-R1-MXFP4
doks-1.34.1-rocm-7.0.2-mi350x8-vllm-dev-dsfp4_1120,10230,1431.390941372552,openai,http://mi350-vllm-dev.default.svc.cluster.local:80,openai,10,0.4372410769057054,2026-02-17 02:06:12.521000,amd/DeepSeek-R1-MXFP4,10,10,10000.0,2026-02-16,15.003990643599534,1.0,0,13.888896486605518,13.908702122972267,13.909992810778508,0.6992627950036894,0.0014047160639716364,deepseek_r1_mxfp4_vllm_20260216,10240,13.909012372908775,62.62527680082712,10.903428810733963,,14.30077514698496,,,13.908701650633885,69.36195478250738,716.0451020837779,730.0,65.99127050139941,amd/DeepSeek-R1-MXFP4
