failed,mean_tpot_ms,std_tpot_ms,total_token_throughput,median_ttft_ms,p99_ttft_ms,total_output_tokens,num_prompts,output_throughput,p99_tpot_ms,model_id,timestamp,max_concurrent_requests,base_url,date,others,label,total_input_tokens,request_throughput,task_id,median_itl_ms,std_ttft_ms,mean_itl_ms,mean_ttft_ms,max_concurrency,request_goodput,tokenizer_id,std_itl_ms,backend,max_output_tokens_per_s,median_tpot_ms,burstiness,endpoint_type,p99_itl_ms,completed,duration,request_rate
0,16.29520060231517,0.026353992180090213,731.306305154251,140.81015303963795,142.57611864595674,6144,6,365.6531525771255,16.350598090342157,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,2026-02-20 23:29:57.273000,6,http://mi325-vllm0123.default.svc.cluster.local:80,2026-02-20,doks-1.34.1-rocm-7.0.2-vllm-gpu-0123-4567-mi325-1-1,,6144,0.35708315681359915,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260220,16.27706451108679,38.39002335750239,16.295201145984965,123.98738648820047,,,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1.0144825801109238,openai,372.0,16.283442533710648,1.0,openai,17.07147095818073,6,16.80280877300538,10000.0
0,24.139157964159274,0.025748270486066583,494.5554764302373,159.64071842608973,161.55963784549385,6144,6,247.27773821511866,24.193284859906296,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,2026-02-20 23:30:56.238000,6,http://mi325-vllm4567.default.svc.cluster.local:80,2026-02-20,doks-1.34.1-rocm-7.0.2-vllm-gpu-0123-4567-mi325-1-1,,6144,0.24148216622570182,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260220,24.084825941827148,43.72531065862579,24.13915847865886,140.47941647004336,,,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1.020230611085034,openai,252.0,24.127751481965117,1.0,openai,25.592281608842313,6,24.846555312047713,10000.0
0,16.15923479314638,0.024922623420083324,860.106704192686,142.4033590592444,144.65069584781304,7168,7,430.053352096343,16.21602263155722,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,2026-02-20 23:31:38.874000,7,http://mi325-vllm0123.default.svc.cluster.local:80,2026-02-20,doks-1.34.1-rocm-7.0.2-vllm-gpu-0123-4567-mi325-1-1,,7168,0.419973976656585,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260220,16.15008106455207,36.4401405803515,16.15923536137215,128.21968360471405,,,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0.9579203743420258,openai,434.0,16.149077559129417,1.0,openai,16.929670423269272,7,16.667699403013103,10000.0
0,24.158305725746814,0.024746139138087004,576.4355509394422,161.69982205610722,164.2492762207985,7168,7,288.2177754697211,24.21468622827509,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,2026-02-20 23:32:37.277000,7,http://mi325-vllm4567.default.svc.cluster.local:80,2026-02-20,doks-1.34.1-rocm-7.0.2-vllm-gpu-0123-4567-mi325-1-1,,7168,0.28146267135714953,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260220,24.119897978380322,41.57779599530701,24.158306359195077,145.37755957072866,,,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1.1507539563030023,openai,294.0,24.14817645845849,1.0,openai,25.58982875198126,7,24.870083006913774,10000.0
0,16.18347159910716,0.023813851825042028,981.3968114404965,143.65202002227306,145.7215069863014,8192,8,490.6984057202483,16.241443130027918,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,2026-02-20 23:33:19.211000,8,http://mi325-vllm0123.default.svc.cluster.local:80,2026-02-20,doks-1.34.1-rocm-7.0.2-vllm-gpu-0123-4567-mi325-1-1,,8192,0.47919766183617996,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260220,16.172794508747756,34.57287530969521,16.18347227482527,130.90103112335782,,,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0.9245785678214591,openai,496.0,16.174518451584415,1.0,openai,17.1121494716499,8,16.69457227597013,10000.0
0,24.01378507538014,0.02328782626114051,662.6768843148694,162.24907553987578,164.25518593052402,8192,8,331.3384421574347,24.07048412465185,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,2026-02-20 23:34:17.461000,8,http://mi325-vllm4567.default.svc.cluster.local:80,2026-02-20,doks-1.34.1-rocm-7.0.2-vllm-gpu-0123-4567-mi325-1-1,,8192,0.32357269741936984,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260220,23.979100049473345,39.340027184216105,24.013785684981634,147.60657600709237,,,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0.9167124166558445,openai,336.0,24.005052807409943,1.0,openai,25.370138882426545,8,24.723964857985266,10000.0
0,17.308229008370688,0.023050550021048163,1032.8035884688763,144.24994797445834,146.5370220830664,9216,9,516.4017942344382,17.367567648216244,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,2026-02-20 23:35:00.602000,9,http://mi325-vllm0123.default.svc.cluster.local:80,2026-02-20,doks-1.34.1-rocm-7.0.2-vllm-gpu-0123-4567-mi325-1-1,,9216,0.5042986271820685,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260220,17.290420015342534,33.10527628510742,17.30822955056743,132.982884779469,,,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0.8597747306843123,openai,522.0,17.30012212413839,1.0,openai,18.035407392308116,9,17.84656851098407,10000.0
0,23.55233063452535,0.023244840834341373,759.9086237107291,164.9766459595412,167.79516846872866,9216,9,379.95431185536455,23.612173790342464,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,2026-02-20 23:35:57.783000,9,http://mi325-vllm4567.default.svc.cluster.local:80,2026-02-20,doks-1.34.1-rocm-7.0.2-vllm-gpu-0123-4567-mi325-1-1,,9216,0.37104913267125444,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260220,23.51707499474287,38.200108720097546,23.552331109910046,152.11555876562167,,,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0.9017716924635903,openai,387.0,23.54411616327855,1.0,openai,24.880185879301283,9,24.25554787099827,10000.0
0,17.35495573107949,0.02121105173724321,1144.3257491315942,145.94185701571405,147.8848024061881,10240,10,572.1628745657971,17.41223689065932,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,2026-02-20 23:36:41.264000,10,http://mi325-vllm0123.default.svc.cluster.local:80,2026-02-20,doks-1.34.1-rocm-7.0.2-vllm-gpu-0123-4567-mi325-1-1,,10240,0.5587528071931612,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260220,17.350821988657117,31.763686313448723,17.3549560778219,135.46654501697049,,,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0.8394842552263384,openai,580.0,17.347888215064895,1.0,openai,18.134161188499995,10,17.89700180699583,10000.0
0,23.561745578785477,0.021683116396883865,843.9725199130983,164.181973435916,167.13659138185903,10240,10,421.98625995654913,23.62031521176863,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,2026-02-20 23:37:39.085000,10,http://mi325-vllm4567.default.svc.cluster.local:80,2026-02-20,doks-1.34.1-rocm-7.0.2-vllm-gpu-0123-4567-mi325-1-1,,10240,0.4120959569888175,Qwen3-235B-A22B-Instruct-2507-FP8_vllm_20260220,23.534404463134706,35.38004615458015,23.561745988082627,152.61176318163052,,,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0.8589477316882212,openai,430.0,23.554510900280544,1.0,openai,24.8443839373067,10,24.2661929349415,10000.0
